iter	Passed	Remaining
0	59	592005
1	67	338370
2	81	271144
3	88	221182
4	95	190693
5	102	170048
6	108	154932
7	114	143447
8	121	134585
9	126	126842
10	132	120677
11	139	115756
12	144	111330
13	150	107546
14	156	104095
15	162	101093
16	167	98446
17	173	96349
18	179	94521
19	185	92808
20	192	91619
21	199	90295
22	205	89067
23	211	87981
24	221	88322
25	227	87326
26	233	86334
27	243	86593
28	249	85892
29	260	86446
30	267	85924
31	274	85570
32	280	84842
33	287	84263
34	293	83526
35	299	83006
36	305	82382
37	318	83577
38	324	82944
39	330	82353
40	336	81776
41	342	81264
42	348	80698
43	354	80132
44	359	79592
45	365	79112
46	371	78590
47	377	78305
48	384	78103
49	390	77729
50	396	77355
51	402	77046
52	409	76764
53	414	76379
54	420	75983
55	426	75802
56	432	75498
57	438	75096
58	443	74735
59	449	74487
60	455	74296
61	462	74058
62	469	73988
63	475	73796
64	480	73517
65	486	73281
66	493	73233
67	734	107302
68	742	106911
69	751	106535
70	759	106190
71	767	105763
72	775	105443
73	793	106388
74	801	106038
75	808	105564
76	814	104973
77	820	104341
78	826	103740
79	831	103076
80	836	102473
81	842	101888
82	848	101427
83	855	101007
84	861	100469
85	866	99934
86	873	99480
87	878	98966
88	884	98525
89	892	98243
90	897	97725
91	903	97343
92	914	97454
93	920	97048
94	926	96647
95	932	96249
96	940	95982
97	946	95648
98	952	95306
99	958	94926
100	964	94489
101	969	94108
102	975	93696
103	980	93342
104	986	92922
105	991	92525
106	998	92363
107	1005	92077
108	1013	91989
109	1019	91652
110	1025	91336
111	1030	90997
112	1040	91018
113	1051	91143
114	1057	90907
115	1063	90627
116	1069	90310
117	1077	90236
118	1084	90063
119	1091	89838
120	1101	89951
121	1108	89765
122	1122	90114
123	1131	90129
124	1139	90003
125	1148	90002
126	1155	89794
127	1160	89531
128	1167	89302
129	1172	89023
130	1178	88787
131	1184	88578
132	1190	88323
133	1196	88089
134	1202	87848
135	1207	87613
136	1213	87339
137	1218	87085
138	1224	86861
139	1229	86616
140	1235	86371
141	1240	86114
142	1246	85916
143	1252	85699
144	1258	85524
145	1265	85411
146	1270	85187
147	1276	84962
148	1281	84733
149	1287	84532
150	1292	84295
151	1298	84120
152	1303	83894
153	1309	83727
154	1314	83509
155	1320	83300
156	1325	83099
157	1331	82919
158	1340	82938
159	1347	82892
160	1353	82697
161	1358	82513
162	1363	82312
163	1369	82111
164	1374	81910
165	1379	81715
166	1384	81510
167	1389	81332
168	1395	81167
169	1400	81005
170	1406	80849
171	1412	80694
172	1418	80548
173	1424	80463
174	1431	80375
175	1437	80216
176	1443	80098
177	1448	79951
178	1454	79787
179	1459	79635
180	1464	79466
181	1469	79298
182	1474	79124
183	1480	78962
184	1485	78785
185	1490	78646
186	1495	78490
187	1502	78442
188	1514	78643
189	1525	78761
190	1531	78649
191	1544	78892
192	1552	78904
193	1564	79083
194	1575	79237
195	1581	79125
196	1587	78988
197	1592	78855
198	1598	78734
199	1605	78654
200	1610	78524
201	1616	78411
202	1622	78301
203	1627	78169
204	1633	78038
205	1638	77886
206	1643	77748
207	1649	77631
208	1654	77512
209	1662	77497
210	1669	77456
211	1676	77383
212	1682	77297
213	1687	77173
214	1693	77077
215	1699	76970
216	1705	76877
217	1710	76755
218	1715	76616
219	1720	76485
220	1725	76365
221	1731	76263
222	1736	76148
223	1742	76049
224	1749	75995
225	1758	76065
226	1767	76082
227	1779	76256
228	1786	76210
229	1791	76095
230	1796	75992
231	1802	75891
232	1807	75766
233	1813	75697
234	1818	75578
235	1824	75499
236	1830	75409
237	1836	75320
238	1842	75253
239	1848	75153
240	1854	75077
241	1859	74971
242	1865	74887
243	1870	74777
244	1875	74683
245	1881	74583
246	1886	74482
247	1896	74588
248	1901	74482
249	1907	74380
250	1912	74289
251	1918	74207
252	1923	74104
253	1928	74005
254	1933	73906
255	1940	73846
256	1945	73765
257	1951	73675
258	1957	73605
259	1962	73499
260	1967	73418
261	1973	73339
262	1978	73245
263	1983	73141
264	1988	73046
265	1993	72957
266	1998	72856
267	2003	72766
268	2009	72694
269	2014	72593
270	2019	72496
271	2026	72459
272	2040	72709
273	2048	72710
274	2055	72673
275	2062	72677
276	2075	72869
277	2082	72839
278	2088	72762
279	2094	72711
280	2100	72663
281	2108	72650
282	2113	72570
283	2119	72516
284	2126	72497
285	2132	72434
286	2140	72450
287	2147	72423
288	2153	72355
289	2158	72287
290	2163	72198
291	2169	72117
292	2174	72055
293	2180	71978
294	2185	71895
295	2192	71892
296	2200	71887
297	2206	71831
298	2214	71834
299	2219	71775
300	2225	71708
301	2230	71633
302	2236	71582
303	2242	71520
304	2248	71458
305	2253	71400
306	2259	71337
307	2265	71281
308	2271	71239
309	2278	71207
310	2283	71149
311	2289	71088
312	2295	71033
313	2300	70973
314	2306	70903
315	2311	70847
316	2319	70839
317	2326	70826
318	2332	70787
319	2339	70777
320	2345	70723
321	2351	70670
322	2357	70620
323	2363	70583
324	2369	70531
325	2375	70489
326	2381	70446
327	2387	70398
328	2393	70360
329	2402	70405
330	2410	70401
331	2415	70352
332	2421	70303
333	2427	70252
334	2433	70211
335	2439	70166
336	2445	70123
337	2451	70081
338	2457	70027
339	2463	70002
340	2470	69968
341	2476	69929
342	2482	69881
343	2487	69822
344	2492	69765
345	2498	69715
346	2504	69669
347	2510	69616
348	2515	69559
349	2520	69503
350	2526	69456
351	2532	69404
352	2538	69361
353	2544	69321
354	2549	69275
355	2555	69230
356	2561	69200
357	2568	69174
358	2574	69141
359	2584	69208
360	2592	69218
361	2599	69199
362	2604	69146
363	2610	69094
364	2616	69060
365	2621	69007
366	2626	68947
367	2632	68896
368	2638	68854
369	2643	68798
370	2648	68741
371	2653	68682
372	2659	68636
373	2664	68584
374	2670	68538
375	2675	68484
376	2680	68430
377	2686	68384
378	2691	68331
379	2697	68279
380	2702	68225
381	2707	68176
382	2713	68122
383	2718	68077
384	2724	68032
385	2729	67981
386	2735	67938
387	2740	67888
388	2745	67844
389	2752	67822
390	2761	67873
391	2771	67923
392	2777	67890
393	2784	67877
394	2789	67833
395	2797	67839
396	2806	67883
397	2811	67836
398	2817	67799
399	2822	67745
400	2828	67716
401	2834	67671
402	2841	67665
403	2847	67624
404	2853	67598
405	2870	67838
406	2878	67838
407	2888	67906
408	2895	67906
409	2902	67892
410	2909	67874
411	2915	67854
412	2923	67852
413	2928	67815
414	2934	67773
415	2940	67733
416	2946	67722
417	2952	67685
418	2958	67644
419	2963	67598
420	2969	67556
421	2975	67524
422	2980	67478
423	2986	67442
424	2991	67404
425	2998	67383
426	3005	67386
427	3011	67351
428	3016	67300
429	3022	67271
430	3028	67241
431	3034	67205
432	3039	67165
433	3045	67127
434	3051	67105
435	3057	67064
436	3062	67019
437	3069	67009
438	3075	66973
439	3080	66941
440	3086	66895
441	3091	66852
442	3097	66824
443	3103	66803
444	3111	66803
445	3120	66835
446	3126	66812
447	3131	66772
448	3137	66738
449	3143	66702
450	3148	66671
451	3156	66680
452	3166	66744
453	3172	66705
454	3177	66665
455	3183	66631
456	3188	66590
457	3194	66548
458	3199	66510
459	3205	66483
460	3210	66436
461	3216	66401
462	3221	66357
463	3227	66327
464	3232	66286
465	3237	66244
466	3243	66212
467	3248	66169
468	3253	66122
469	3258	66080
470	3264	66049
471	3270	66016
472	3276	65986
473	3283	65984
474	3291	66007
475	3297	65984
476	3304	65970
477	3310	65938
478	3315	65896
479	3325	65960
480	3332	65949
481	3339	65936
482	3349	65997
483	3360	66069
484	3366	66042
485	3374	66061
486	3379	66020
487	3392	66127
488	3399	66115
489	3404	66080
490	3410	66043
491	3415	66011
492	3421	65980
493	3427	65951
494	3433	65924
495	3438	65888
496	3443	65841
497	3448	65796
498	3453	65759
499	3459	65732
500	3464	65689
501	3470	65657
502	3475	65624
503	3481	65591
504	3486	65548
505	3491	65515
506	3497	65483
507	3502	65447
508	3508	65422
509	3514	65395
510	3520	65376
511	3526	65344
512	3531	65312
513	3537	65281
514	3542	65251
515	3548	65213
516	3553	65177
517	3559	65147
518	3565	65127
519	3570	65094
520	3576	65067
521	3582	65053
522	3588	65034
523	3594	65005
524	3600	64971
525	3605	64943
526	3610	64903
527	3616	64869
528	3621	64840
529	3627	64807
530	3632	64771
531	3637	64737
532	3643	64706
533	3648	64668
534	3653	64641
535	3659	64613
536	3664	64574
537	3670	64556
538	3675	64518
539	3681	64501
540	3687	64481
541	3693	64454
542	3698	64416
543	3704	64391
544	3709	64351
545	3714	64315
546	3719	64277
547	3724	64242
548	3730	64216
549	3735	64189
550	3740	64153
551	3748	64156
552	3753	64130
553	3762	64152
554	3767	64119
555	3772	64084
556	3778	64057
557	3783	64019
558	3788	63987
559	3793	63950
560	3799	63923
561	3804	63896
562	3810	63865
563	3815	63840
564	3820	63801
565	3825	63763
566	3830	63732
567	3836	63710
568	3850	63812
569	3856	63801
570	3863	63792
571	3869	63778
572	3875	63755
573	3881	63734
574	3886	63705
575	3892	63689
576	3897	63657
577	3909	63736
578	3917	63741
579	3923	63721
580	3929	63699
581	3936	63698
582	3941	63671
583	3946	63638
584	3952	63606
585	3957	63573
586	3963	63556
587	3970	63547
588	3975	63519
589	3980	63489
590	3987	63484
591	3994	63486
592	4002	63492
593	4008	63474
594	4013	63447
595	4019	63426
596	4027	63430
597	4041	63540
598	4047	63529
599	4053	63503
600	4059	63485
601	4065	63467
602	4070	63438
603	4077	63436
604	4084	63422
605	4091	63429
606	4097	63406
607	4102	63378
608	4109	63376
609	4116	63360
610	4122	63342
611	4127	63315
612	4132	63282
613	4137	63252
614	4143	63236
615	4149	63213
616	4154	63186
617	4160	63158
618	4166	63137
619	4172	63125
620	4178	63110
621	4184	63083
622	4189	63054
623	4194	63025
624	4200	63010
625	4206	62987
626	4211	62956
627	4216	62930
628	4221	62899
629	4226	62866
630	4232	62842
631	4238	62823
632	4243	62796
633	4249	62777
634	4255	62754
635	4260	62730
636	4266	62706
637	4271	62681
638	4276	62649
639	4282	62627
640	4287	62603
641	4293	62578
642	4298	62558
643	4305	62551
644	4311	62535
645	4318	62527
646	4324	62512
647	4330	62493
648	4335	62464
649	4344	62494
650	4351	62494
651	4357	62481
652	4363	62456
653	4369	62441
654	4375	62421
655	4381	62403
656	4387	62394
657	4393	62378
658	4399	62362
659	4405	62342
660	4411	62333
661	4417	62314
662	4423	62293
663	4429	62274
664	4434	62256
665	4440	62233
666	4446	62212
667	4451	62186
668	4456	62161
669	4461	62133
670	4466	62104
671	4472	62081
672	4478	62066
673	4483	62036
674	4488	62012
675	4494	61985
676	4499	61967
677	4505	61946
678	4510	61922
679	4516	61901
680	4522	61882
681	4527	61857
682	4532	61832
683	4538	61808
684	4544	61793
685	4549	61774
686	4555	61747
687	4560	61719
688	4565	61694
689	4571	61679
690	4576	61656
691	4582	61634
692	4587	61607
693	4592	61585
694	4598	61562
695	4603	61532
696	4608	61508
697	4614	61489
698	4620	61486
699	4626	61468
700	4631	61442
701	4638	61434
702	4644	61420
703	4650	61413
704	4656	61396
705	4662	61381
706	4667	61354
707	4673	61337
708	4679	61316
709	4684	61295
710	4690	61273
711	4696	61271
712	4702	61250
713	4710	61265
714	4717	61260
715	4722	61234
716	4727	61212
717	4732	61185
718	4738	61160
719	4743	61138
720	4749	61123
721	4754	61099
722	4760	61077
723	4765	61059
724	4771	61037
725	4776	61018
726	4782	61003
727	4788	60981
728	4793	60958
729	4798	60934
730	4803	60911
731	4808	60884
732	4825	61003
733	4832	61001
734	4838	60993
735	4844	60979
736	4850	60964
737	4856	60948
738	4862	60934
739	4868	60919
740	4873	60898
741	4879	60883
742	4884	60854
743	4889	60832
744	4903	60914
745	4910	60919
746	4919	60934
747	4924	60915
748	4929	60888
749	4935	60866
750	4940	60839
751	4945	60814
752	4950	60790
753	4955	60769
754	4960	60747
755	4966	60723
756	4971	60703
757	4976	60675
758	4981	60649
759	4987	60632
760	4992	60607
761	4997	60587
762	5002	60565
763	5008	60543
764	5013	60523
765	5019	60506
766	5024	60487
767	5030	60467
768	5035	60443
769	5040	60423
770	5047	60421
771	5052	60396
772	5057	60375
773	5063	60352
774	5069	60338
775	5074	60321
776	5080	60305
777	5089	60332
778	5100	60368
779	5106	60361
780	5113	60363
781	5119	60348
782	5125	60337
783	5131	60315
784	5136	60296
785	5142	60281
786	5147	60257
787	5153	60251
788	5162	60265
789	5169	60265
790	5174	60244
791	5182	60257
792	5188	60238
793	5193	60216
794	5199	60197
795	5204	60179
796	5210	60165
797	5216	60147
798	5221	60127
799	5226	60106
800	5232	60093
801	5238	60080
802	5243	60060
803	5248	60036
804	5254	60019
805	5260	60006
806	5265	59985
807	5271	59964
808	5277	59953
809	5282	59936
810	5288	59920
811	5295	59917
812	5301	59907
813	5310	59930
814	5317	59930
815	5322	59909
816	5328	59893
817	5334	59875
818	5339	59854
819	5344	59835
820	5350	59817
821	5357	59819
822	5362	59799
823	5368	59779
824	5373	59761
825	5378	59738
826	5383	59714
827	5389	59695
828	5394	59677
829	5400	59660
830	5404	59636
831	5410	59619
832	5416	59602
833	5463	60044
834	5474	60086
835	5482	60103
836	5492	60124
837	5502	60163
838	5510	60167
839	5518	60182
840	5526	60191
841	5533	60184
842	5539	60172
843	5545	60163
844	5551	60147
845	5559	60152
846	5565	60139
847	5570	60124
848	5576	60111
849	5582	60093
850	5588	60077
851	5593	60058
852	5598	60038
853	5604	60017
854	5609	59996
855	5614	59978
856	5621	59974
857	5627	59958
858	5633	59943
859	5638	59928
860	5644	59913
861	5650	59896
862	5655	59878
863	5661	59860
864	5666	59837
865	5671	59821
866	5676	59797
867	5681	59778
868	5687	59757
869	5692	59735
870	5697	59716
871	5703	59702
872	5709	59688
873	5714	59671
874	5720	59654
875	5725	59635
876	5731	59617
877	5736	59603
878	5742	59583
879	5747	59569
880	5753	59551
881	5760	59546
882	5765	59529
883	5771	59512
884	5776	59499
885	5783	59487
886	5788	59474
887	5804	59557
888	5811	59558
889	5817	59546
890	5823	59536
891	5829	59526
892	5839	59556
893	5848	59567
894	5853	59553
895	5859	59536
896	5864	59518
897	5870	59504
898	5876	59486
899	5881	59470
900	5887	59457
901	5893	59442
902	5898	59427
903	5904	59410
904	5910	59403
905	5917	59393
906	5924	59397
907	5930	59378
908	5934	59355
909	5940	59339
910	5945	59322
911	5951	59302
912	5956	59283
913	5962	59270
914	5967	59253
915	5973	59237
916	5978	59217
917	5985	59214
918	5992	59218
919	6003	59253
920	6009	59239
921	6015	59229
922	6023	59231
923	6029	59220
924	6034	59202
925	6040	59187
926	6045	59169
927	6055	59197
928	6066	59239
929	6072	59221
930	6077	59202
931	6083	59189
932	6088	59170
933	6094	59155
934	6100	59140
935	6105	59126
936	6111	59109
937	6116	59095
938	6122	59076
939	6127	59057
940	6132	59039
941	6138	59021
942	6143	59001
943	6148	58985
944	6153	58964
945	6159	58948
946	6164	58929
947	6169	58912
948	6174	58892
949	6180	58873
950	6185	58858
951	6190	58837
952	6196	58823
953	6201	58805
954	6207	58791
955	6213	58777
956	6218	58763
957	6224	58748
958	6229	58730
959	6235	58720
960	6241	58703
961	6247	58691
962	6252	58676
963	6257	58657
964	6263	58640
965	6268	58625
966	6273	58606
967	6282	58623
968	6288	58607
969	6293	58585
970	6298	58569
971	6303	58549
972	6308	58526
973	6314	58512
974	6319	58496
975	6325	58484
976	6331	58470
977	6336	58455
978	6347	58486
979	6353	58479
980	6359	58463
981	6363	58441
982	6368	58422
983	6374	58405
984	6379	58388
985	6385	58371
986	6392	58373
987	6398	58363
988	6406	58366
989	6411	58351
990	6417	58336
991	6423	58328
992	6429	58315
993	6434	58299
994	6439	58280
995	6444	58263
996	6449	58242
997	6455	58225
998	6460	58205
999	6465	58188
1000	6470	58170
1001	6476	58155
1002	6481	58141
1003	6487	58124
1004	6492	58112
1005	6501	58124
1006	6506	58105
1007	6511	58087
1008	6516	58070
1009	6521	58051
1010	6527	58038
1011	6533	58024
1012	6538	58008
1013	6544	57995
1014	6549	57974
1015	6554	57954
1016	6559	57939
1017	6564	57920
1018	6569	57903
1019	6575	57887
1020	6580	57866
1021	6585	57854
1022	6591	57837
1023	6596	57821
1024	6602	57810
1025	6607	57794
1026	6615	57796
1027	6620	57780
1028	6625	57766
1029	6631	57751
1030	6636	57732
1031	6641	57714
1032	6646	57696
1033	6651	57677
1034	6656	57658
1035	6661	57638
1036	6666	57623
1037	6673	57614
1038	6680	57618
1039	6688	57621
1040	6697	57638
1041	6708	57673
1042	6720	57710
1043	6727	57709
1044	6735	57720
1045	6748	57765
1046	6753	57751
1047	6760	57750
1048	6766	57738
1049	6785	57842
1050	6793	57844
1051	6800	57844
1052	6807	57842
1053	6814	57840
1054	6821	57836
1055	6827	57830
1056	6834	57826
1057	6841	57819
1058	6847	57812
1059	6854	57808
1060	6861	57806
1061	6868	57809
1062	6879	57842
1063	6886	57837
1064	6892	57826
1065	6901	57841
1066	6907	57833
1067	6913	57816
1068	6918	57802
1069	6924	57789
1070	6929	57773
1071	6935	57757
1072	6940	57739
1073	6945	57724
1074	6950	57707
1075	6956	57692
1076	6961	57677
1077	6967	57664
1078	6972	57650
1079	6978	57636
1080	6983	57622
1081	6989	57606
1082	6994	57592
1083	6999	57574
1084	7004	57556
1085	7011	57554
1086	7017	57543
1087	7024	57536
1088	7033	57556
1089	7039	57547
1090	7045	57534
1091	7051	57520
1092	7056	57504
1093	7061	57489
1094	7067	57478
1095	7073	57463
1096	7079	57452
1097	7084	57437
1098	7090	57423
1099	7096	57418
1100	7102	57404
1101	7107	57390
1102	7113	57376
1103	7118	57361
1104	7124	57349
1105	7129	57334
1106	7134	57316
1107	7140	57300
1108	7145	57288
1109	7151	57274
1110	7156	57261
1111	7162	57247
1112	7167	57233
1113	7175	57237
1114	7183	57239
1115	7188	57227
1116	7194	57213
1117	7199	57198
1118	7205	57185
1119	7211	57176
1120	7217	57163
1121	7223	57153
1122	7228	57140
1123	7234	57126
1124	7239	57108
1125	7245	57102
1126	7251	57091
1127	7258	57090
1128	7266	57095
1129	7271	57080
1130	7278	57077
1131	7284	57066
1132	7289	57050
1133	7294	57031
1134	7300	57017
1135	7305	57001
1136	7310	56985
1137	7315	56970
1138	7321	56956
1139	7327	56945
1140	7332	56931
1141	7342	56954
1142	7349	56951
1143	7357	56953
1144	7367	56977
1145	7373	56970
1146	7380	56963
1147	7385	56947
1148	7390	56929
1149	7396	56919
1150	7401	56902
1151	7407	56890
1152	7412	56876
1153	7426	56924
1154	7432	56918
1155	7438	56905
1156	7444	56894
1157	7450	56885
1158	7456	56875
1159	7463	56876
1160	7470	56874
1161	7478	56879
1162	7483	56866
1163	7489	56852
1164	7494	56836
1165	7499	56821
1166	7505	56805
1167	7510	56795
1168	7516	56780
1169	7521	56766
1170	7527	56753
1171	7533	56741
1172	7538	56728
1173	7543	56713
1174	7549	56703
1175	7616	57149
1176	7623	57148
1177	7630	57145
1178	7636	57137
1179	7643	57130
1180	7649	57123
1181	7656	57121
1182	7664	57125
1183	7670	57116
1184	7676	57107
1185	7683	57099
1186	7689	57088
1187	7695	57083
1188	7702	57075
1189	7708	57066
1190	7713	57054
1191	7719	57043
1192	7725	57033
1193	7750	57158
1194	7769	57246
1195	7775	57240
1196	7783	57238
1197	7791	57245
1198	7799	57251
1199	7806	57248
1200	7817	57270
1201	7822	57259
1202	7828	57249
1203	7835	57244
1204	7842	57238
1205	7847	57221
1206	7852	57207
1207	7858	57195
1208	7865	57189
1209	7871	57184
1210	7878	57177
1211	7884	57168
1212	7889	57152
1213	7896	57150
1214	7903	57143
1215	7909	57132
1216	7915	57123
1217	7921	57117
1218	7927	57102
1219	7933	57092
1220	7939	57081
1221	7945	57078
1222	7951	57068
1223	7958	57060
1224	7964	57050
1225	7970	57041
1226	7977	57035
1227	7983	57026
1228	7989	57016
1229	7994	57004
1230	8000	56991
1231	8006	56983
1232	8013	56974
